#,Stasiun / UPT,Alamat,Kepala
19,Sta. Met. Kelas III Raja Haji Fisabilillah - TanjungpinangBBMKG Wilayah I Medan,"Bandara Raja Haji Fisabilillah, Jl. Adi Sucipto Km 12,5 Bandara Kijang, Tanjung Pinang, Kepulauan Riau. 0771-41091 0771-441844 stamet.tanjungpinang@bmkg.go.id","YOHANES DRAJAD BINTORO, S.P"
20,Sta. Met. Kelas III Malikul Saleh - Aceh UtaraBBMKG Wilayah I Medan,"Jalan Meteorologi, Bandara Malikussaleh, Aceh Utara, Propinsi Aceh, 24301 0645-8450193 stamet.acehutara@bmkg.go.id","ROMAULI KRISTIANA SIRAIT, M.Si."
21,Sta. Met. Kelas III F.L. Tobing - Tapanuli TengahBBMKG Wilayah I Medan,"Bandara Pinang Sori, Sibolga, Tapanuli Tengah, Sumatera Utara, 55264 0631-391004 stamet.sibolga@bmkg.go.id",AHMAD UBAEDILLAH
22,Sta. Met. Kelas III Ranai - NatunaBBMKG Wilayah I Medan,"Jl. Adi Sucipto No. 147, Lanud Ranai, Natuna, Riau, 29783 0773-31016","HERITAN, S.E"
23,Sta. Met. Kelas III Tarempa - Kepulauan AnambasBBMKG Wilayah I Medan,Jl. Hang Tuah No 45 Tarempa Kabupaten Kepulauan Anambas Kep. Riau 29791 0722-31402 0772-31296 stamet.tarempa@bmkg.go.id,"SIRAJUL MUNIR, S.Mat"
24,Sta. Met. Kelas III Cut Nyak Dhien Nagan RayaBBMKG Wilayah I Medan,"Bandara Cut Nyak Dhien Maulaboh Jl. Desa Kubang Gajah Kec. Kuala, Kab. Nagan Raya stamet.meulaboh@bmkg.go.id","ISWAHYUONO BASUKI PRIAMBODO, SP"
25,Sta. Met. Kelas IV Aek Godang - Padang SidempuanBBMKG Wilayah I Medan,"Jl. Aek Godang Sibuhuan Km, 1,5 Aek Godang Kotak Pos 73 Padangsidempuan 22700","MUCHAMAD NUR, S.Kom"
26,Sta. Met. Kelas IV Maritim Teluk Bayur - PadangBBMKG Wilayah I Medan,"Jl. Cilacap No. 31A Teluk Bayur, Padang, Sumatera Barat, 25217 0751-62331 0751-62331","SYAFRIZAL, M.M"
27,Sta. Met. Kelas IV Raja Haji Abdullah - KarimunBBMKG Wilayah I Medan,"Raja Haji Abdullah Airport - Jl. Mayjen Sutoyo Km.12, Tanjung Balai, Karimun 0777-324320",RADEN EKO SARJONO
28,Sta. Geof. Kelas I BandungBBMKG Wilayah II Ciputat,"Jl. Cemara No. 66, Bandung 022-2031881 stageof.bandung@bmkg.go.id","TONY AGUS WIJAYA, S.Si"
29,Sta. Geof. Kelas I TangerangBBMKG Wilayah II Ciputat,"Jl. Meteorologi No 5, Kel. Tanah Tinggi, Tangerang, Banten 021--55771822 021-5523665 021-55771822 stageof.tangerang@bmkg.go.id","SUWARDI, S.Si"
30,Sta. Geof. Kelas I SlemanBBMKG Wilayah II Ciputat,"Jl. Wates Km 8, Citengan, Balecatur, Gamping, Sleman, DIY 0274-6498380 0274-6498383 0274-6498382 stageof.yogya@bmkg.go.id","AGUS RIYANTO, SP, MM"
31,Sta. Met. Kelas II Yogyakarta Internasional AirportBBMKG Wilayah II Ciputat,,"WARJONO, S.Si, M.Kom"
32,Sta. Klim. Kelas IV Bone BolangoBBMKG Wilayah IV Makassar,"Kabupaten Bone Bolango, Gorontalo","IRYANTO MARMIN SUWIRONO, SP"
33,Sta. Geof. Kelas III BanjarnegaraBBMKG Wilayah II Ciputat,"Jl. Raya Banjarmangu KM 12, Desa Kalilunjar, Banjarmangu, Banjarnegara, Jawa Tengah stageof.banjarnegara@bmkg.go.id","SETYOAJIE PRAYOEDHIE, ST, MDM"
34,Sta. Geof. Kelas III KepahiangBBMKG Wilayah II Ciputat,"Jl. Pembangunan No.156 Pasar Ujung Kepahiang, Bengkulu 39372 0732-391267 0732-391600 stageof.kepahiang@bmkg.go.id","LITMAN, ST"
35,Sta. Geof. Kelas III Lampung UtaraBBMKG Wilayah II Ciputat,"Jl. Raden Intan No. 219, Kotabumi, Lampung 0724-22870 stageof.kotabumi@bmkg.go.id","ANTON SUGIHARTO, S.Kom"
36,Sta. Klim. Kelas I BogorBBMKG Wilayah II Ciputat,Jl. Alternatif IPB - SituGede Bogor Barat 0251-8628468 0251-623018 staklim.bogor@bmkg.go.id http://bogor.jabar.bmkg.go.id,"ABDUL MUTHOLIB, SP, M.Si"
37,Sta. Klim. Kelas I SemarangBBMKG Wilayah II Ciputat,"Jl. Siliwangi 291 Kalibanteng Kulon, Semarang, Jateng, 50145 024-7609016 024-7612394 staklim.semarang@bmkg.go.id http://klimatologi.semarang.jateng.bmkg.go.id","Ir. TUBAN WIYOSO, M.Si"
38,Sta. Klim. Kelas I PalembangBBMKG Wilayah II Ciputat,Jl. Residen H. Amalludin Kenten Sako - Palembang 0711-811642 0711-810831 staklim.kenten@bmkg.go.id,"NUGA PUTRANTIJO, SP, M.Si"
39,Sta. Klim. Kelas II Tangerang SelatanBBMKG Wilayah II Ciputat,Jl. Raya Kodam Bintaro No 82 Jakarta Selatan 021-7353018 021-7355262 staklim.pondokbetung@bmkg.go.id,"SUKASNO, S.TP. MM"
40,Sta. Klim. Kelas I BengkuluBBMKG Wilayah II Ciputat,Jl. Ir. Rustandi Sugianto P. Baai Bengkulu 39172 Kotak Pos 15 0736-51251 0736-53030 0736-51426 staklim.pulaubaai@bmkg.go.id,"KLAUS JOHANNES APOH DAMANIK, ST"
41,Sta. Klim. Kelas II MempawahBBMKG Wilayah II Ciputat,"Jl. Raya Sei Nipah Km.20,5 Jungkat - Pontianak 78351 561-7075083 0561-740316 staklim.siantan@bmkg.go.id","SYAFRINAL, SH"
42,Sta. Klim. Kelas IV Muaro JambiBBMKG Wilayah II Ciputat,Jl. Raya Jambi-Muara Bulian Km 18 Jaluko 36363 (0741) 583500 (0741) 581919 (0741) 583555 staklimjambi@bmkg.go.id,"RUDI ANUAR YUDHA TRISAPUTRA, SP"
43,Sta. Klim. Kelas IV PesawaranBBMKG Wilayah II Ciputat,Jl. Raya Masgar Km.35 Tegineneng Pesawaran 35363 (0725) 7851570 (0725) 7851571 staklim.masgar@bmkg.go.id,"BUDI SATRIA, S.Si"
44,Sta. Met. Kelas I Maritim Tanjung Priok - Jakarta UtaraBBMKG Wilayah II Ciputat,Jl. Padang Marang 4 Pelabuhan Tanjung Priok Jakarta Utara 14310 021-43901650 021-4351366 stamar.tanjungpriok@bmkg.go.id,Drs. NANANG PURNADI
45,Sta. Met. Kelas I Soekarno Hatta - TangerangBBMKG Wilayah II Ciputat,Stasiun Meteorologi Bandara Soekarno-Hatta Cengkareng Gedung 611 (tower) 021-5506145 021-5501582 stamet.cengkareng@bmkg.go.id http://soekarno-hatta.banten.bmkg.go.id,"PARMIN, S.Si, MM"
46,Sta. Met. Kelas II Ahmad Yani - SemarangBBMKG Wilayah II Ciputat,"Jl. PUADA Yani, Bandara A Yani Semarang 50145 024-7626064 024-7605539 024-7613817","ACHADI SUBARKAH RAHARJO, S.Si"
47,Sta. Met. Kelas I Radin Inten II - Lampung SelatanBBMKG Wilayah II Ciputat,"Jl. Raya Branti, Bandara Radin Inten II Lampung 0721-91093 0721-91642 stamet.lampung@bmkg.go.id","KUKUH RIBUDIYANTO, M.Si"
48,Sta. Met. Kelas II Sultan Mahmud Badaruddin II - PalembangBBMKG Wilayah II Ciputat,"Jl. SM Badaruddin II Km 10,5 Palembang 0711-430274 0711-430015","DESINDRA DEDDY KURNIAWAN, SP"
49,Sta. Met. Kelas I Supadio - PontianakBBMKG Wilayah II Ciputat,"Bandara Supadio Jl. Adi Sucipto Km 17, Pontianak, Kalimantan Barat 78381 0561-721560 0561-721142 0561-725127 stamet.supadio@bmkg.go.id","NANANG BUCHORI, SP"
50,Sta. Met. Kelas III Budiarto - TangerangBBMKG Wilayah II Ciputat,"Kampus STPI Bandara Budiarto Curug, Tangerang 021-5983894 021-5981697 021-5986924 stamet.curug@bmkg.go.id","TAUFIQ HIDAYAH, S.Si, M.Si"
51,Sta. Met. Kelas III H.AS. Hanandjoeddin - BelitungBBMKG Wilayah II Ciputat,Jl. Bandara H. AS. Hanadjoeddin Buluhtumbang Tanjungpandan - Belitung 0719-24310 0719-22688,"CARLES, ST, M.Si"
52,Sta. Met. Kelas III Tunggul Wulung -CilacapBBMKG Wilayah II Ciputat,Jl. Gatot Subroto No. 20 Cilacap 0282-34103 0282-535822 stamet.cilacap@bmkg.go.id,"TARUNA MONA RACHMAN, SE, MM"
53,Sta. Met. Kelas III Citeko - BogorBBMKG Wilayah II Ciputat,Stasiun Meteorologi Citeko - Cisarua Bogor 0251-8255011 0251-8255460 stamet.citeko@bmkg.go.id,"ASEP FIRMAN ILAHI, S.Stat M.Si"
54,Sta. Met. Kelas III Depati Parbo - KerinciBBMKG Wilayah II Ciputat,Bandara Depati Parbo Kerinci 0748-7004800,JON HAIDES
55,Sta. Met. Kelas III Fatmawati Soekarno - BengkuluBBMKG Wilayah II Ciputat,"Jl. Raya Bandara Fatmawati Soekarno, Bengkulu 0736-51064 0736-51614 stamet.fatmawati@bmkg.go.id","TRI WIDIARTO, S.Si"
56,Sta. Met. Kelas III Kertajati - MajalengkaBBMKG Wilayah II Ciputat,Jl. Letda Arzain no.28 Jatiwangi Kab. Majalengka 45454 0233-881013 0233-883949 stamet.jatiwangi@bmkg.go.id http://stamet.majalengka.bmkg.go.id/,"DEVI ARDIYANSYAH, SP"
57,Sta. Met. Kelas III Kemayoran - Jakarta PusatBBMKG Wilayah II Ciputat,"Jl. Angkasa I No. 2, Kemayoran, Jakarta Pusat","LUKMAN SOLEH, S.Hut"
58,Sta. Met. Kelas III Nangapinoh - MelawiBBMKG Wilayah II Ciputat,"Bandara Nangapinoh, Kab. Melawi Kalimantan Barat 0568-21330 0568-21330","RULLY AFFANDI, S.Si"
59,Sta. Met. Kelas III Paloh - SambasBBMKG Wilayah II Ciputat,"Jl. Lingkar PLN Liku, Kec. Paloh Kab. Sambas, Kalimantan Barat 562-4395086","DHARMAWAN WAHYU ADHI, SP"
60,Sta. Met. Kelas I Depati Amir - Pangkal PinangBBMKG Wilayah II Ciputat,"Bandara Dipati Amir, Bangka, Pangkalpinang 33171 0717-436894 0717-432060 stamet.pangkalpinang@bmkg.go.id","FACHKRURAZI, SP"
61,Sta. Met. Kelas III Pangsuma - Kapuas HuluBBMKG Wilayah II Ciputat,"Bandar Udara Pangsuma Jl. Adi Sucipto Kedamin Putussibau, Kalimantan Barat 78752 0567-21567 0567-21567 stamet.putussibau@bmkg.go.id","RIDWAN NUGRAHA, A.Md"
62,Sta. Met. Kelas III Rahadi Oesman - KetapangBBMKG Wilayah II Ciputat,Jl. Patimura No. 13 Ketapang 78851 0534-32706 0534-32706 stamet.ketapang@bmkg.go.id,"HERU SUKOCO, SE"
63,Sta. Met. Kelas I Maritim SerangBBMKG Wilayah II Ciputat,Jl. Raya Taktakan No 27 Serang - Banten 0254-200185 0254-224325 stamet.serang@bmkg.go.id,"TRI TJAHJO HENDRARDHY PRAJOGO, S.Kom"
64,Sta. Met. Kelas I Sultan Thaha - JambiBBMKG Wilayah II Ciputat,Jl. Soekarno-Hatta Palmerah - Jambi 0741-572161 0741-573245 stamet.sultanthaha@bmkg.go.id,"IBNU SULISTYONO, SE."
65,Sta. Met. Kelas III Susilo - SintangBBMKG Wilayah II Ciputat,Jl. Pramuka No. 1 Sintang - Kalimantan Barat 0565-23013,"SUPRIANDI, SP, M.Si"
66,Sta. Met. Kelas III TegalBBMKG Wilayah II Ciputat,Jl. Kol. Sugiono No 100 Tegal 52113 0283-356206 0283-341773,
67,Sta. Met. Kelas IV Maritim Panjang - Bandar LampungBBMKG Wilayah II Ciputat,"Jl. Yos Sudarso No. 64 Way Lunik, Panjang Bandar Lampung 35243 0721-342219 stamar.lampung@bmkg.go.id","ANDI CAHYADI, SE, S.Si, M.Si"
68,Sta. Met. Kelas IV Maritim PontianakBBMKG Wilayah II Ciputat,Jl. Pelabuhan Laut Pontianak 78112 0561-769906 0561-769906 stamar.pontianak@bmkg.go.id,"DANU TRIATMOKO, S.Si"
69,Sta. Geof. Kelas I KupangBBMKG Wilayah III Denpasar,"Jl. Cak Doko No. 70, Kupang, NTT, 85112 0380-821608 0380-826006 0380-826205 stageof.kupang@bmkg.go.id","ROBERT OWEN WAHYU, S.Si"
70,Sta. Geof. Kelas II DenpasarBBMKG Wilayah III Denpasar,"Jl. Pulau Tarakan No. 1, Sanglah, Denpasar, Bali. 0361-226157 0361-226187 stageof.sanglah@bmkg.go.id","IKHSAN, ST"
71,Sta. Geof. Kelas II PasuruanBBMKG Wilayah III Denpasar,"Jl. Sedap Malam Mlaten Pandaan, Pasuruan - Jawa Timur 67157 0343-635590 0343-636685 stageof.tretes@bmkg.go.id","SUJABAR, ST"
72,Sta. Geof. Kelas III BalikpapanBBMKG Wilayah III Denpasar,"Jl. Marsma R. Iswahyudi 359 Balikpapan, Kalimantan Timur 76115 0542-764053 0542-762862 stageof.balikpapan@bmkg.go.id",MUDJIANTO
73,Sta. Geof. Kelas III MalangBBMKG Wilayah III Denpasar,"Jl. Raya Bendungan Lahor, No. 40, Karangkates, Kp.3, Sumber Pucung, Malang, Jawa Timur, 65165 0341-385667 0341-386261 stageof.karangkates@bmkg.go.id","MUSRIPAN, SE"
74,Sta. Geof. Kelas III NganjukBBMKG Wilayah III Denpasar,"Jl. Pasanggrahan Sawahan No. 10, Nganjuk, Jawa Timur 64475 0358-326434 0358-7605630 0358-330769 stageof.nganjuk@bmkg.go.id","MUH CHUDORI, ST"
75,Sta. Geof. Kelas III Sumba TimurBBMKG Wilayah III Denpasar,"Jl. Adi Sucipto, V8, Sumbawa Timur, Waingapu, Nusa Tenggara Timur, Kotak Pos 105. 0387-61226 0387-61225 stageof.waingapu@bmkg.go.id","ARIEF TYASTAMA, S.Si, M.Si"
76,Sta. Klim. Kelas I BanjarbaruBBMKG Wilayah III Denpasar,"Jl. Trikora, Banjarbaru - Kalimantan Selatan 0511-4787229 0511-4787159 staklim.banjarbaru@bmkg.go.id http://banjarbaru.kalsel.bmkg.go.id","GOEROEH TJIPTANTO, S.Stat, M.T.I."
77,Sta. Klim. Kelas II MalangBBMKG Wilayah III Denpasar,"Jl. Zentana 33, Karang Ploso, Malang, Jawa Timur, 65152 0341-461388 0341-461595 0341-464827 staklim.karangploso@bmkg.go.id","AMINUDIN AL RONIRI, SP, M.Si"
78,Sta. Klim. Kelas II KupangBBMKG Wilayah III Denpasar,"Jl. Timor Raya KM. 10,7 Lasiana, KP.63, Kupang, NTT, 85361 0380-881681 0380-881680 staklim.lasiana@bmkg.go.id http://lasiana.ntt.bmkg.go.id","APOLINARIS SAMSUDIN GERU, SP, M.Si"
79,Sta. Klim. Kelas II JembranaBBMKG Wilayah III Denpasar,"Jl. Lely, No.9 Baler Bale Agung, Negara, Jembrana, Bali 82212 0365-4546085 0365-4546209","RAKHMAT PRASETIA, SP, M.Si"
80,Sta. Klim. Kelas I Lombok BaratBBMKG Wilayah III Denpasar,"Jl. TGH Ibrahim Khalidy, Desa Montong Are, Kec. Kediri, Kab. Lombok Barat, Nusa Tenggara Barat, 83362 0370-674134 0370-674135 staklim.kediri@bmkg.go.id http://iklim.ntb.bmkg.go.id","KASIRON, SP, MM"
81,Sta. Met. Kelas I Juanda - SidoarjoBBMKG Wilayah III Denpasar,Bandar Udara Juanda Surabaya 61253 031-8668989 031-8667540 031-8675342 stamet.juanda@bmkg.go.id http://juanda.jatim.bmkg.go.id,"I WAYAN MUSTIKA, S.Si, M.Si"
82,Sta. Met. Kelas I I Gusti Ngurah Rai - BadungBBMKG Wilayah III Denpasar,"Gedung GOI Lantai 2 Bandara Ngurah Rai Denpasar, Bali 0361-9351124 0361-757975 0361-9351124 stamet.ngurahrai@bmkg.go.id http://ngurahrai.bali.bmkg.go.id","FRANSIN ADRIANA PATTINAMA, S.Pi"
83,Sta. Met. Kelas II Eltari - KupangBBMKG Wilayah III Denpasar,Bandara Eltari Kupang Jl. Rajawali - Penturi Kupang 0380-881613 0380-882097 stamet.eltari@bmkg.go.id,"AGUNG SUDIONO ABADI, S.Si"
84,Sta. Met. Kelas II Maritim Tanjung Perak - SurabayaBBMKG Wilayah III Denpasar,"Jl. Kalimas Baru 97B Perak Surabaya, Jawa Timur, 60165 031-3287123 0313291439 stamar.perak2@bmkg.go.id","TAUFIQ HERMAWAN, ST, MT"
85,Sta. Met. Kelas II Zainuddin Abdul Madjid - LombokBBMKG Wilayah III Denpasar,"Jl. Mandalika, Penunjak, Praya Lombok Tengah, Nusa Tenggara Barat 0370-6157022 0370-6157024 stamet.selaparang@bmkg.go.id","CUCU KUSMAYANCU, S.Kom"
86,Sta. Met. Kelas I Sultan Aji Muhammad Sulaiman Sepinggan - BalikpapanBBMKG Wilayah III Denpasar,Jl. Marsma R. Iswahyudi No. 3 Balikpapan 0542-762360 0542-764054 stamet.sepinggan@bmkg.go.id,"ERIKA MARDIYANTI, S.Kom, M.Si"
87,Sta. Met. Kelas II Syamsudin Noor - BanjarmasinBBMKG Wilayah III Denpasar,Bandara Syamsudin Noor Banjarmasin 0511-470518 stamet.banjarmasin@bmkg.go.id,"KARMANA, S.Si, MM"
88,Sta. Met. Kelas III BanyuwangiBBMKG Wilayah III Denpasar,Jl. Jaksa Agung Suprapto No. 152. 0333-421888 0333-410088 stamet.banyuwangi@bmkg.go.id,"DHIRA UTAMA, S.Kom"
89,Sta. Met. Kelas III Beringin - Barito UtaraBBMKG Wilayah III Denpasar,"Jl. Pandreh, No. 187, Muara Teweh, Barito Utara, Kalimantan Tengah, 73811. 0519-21495 0519-24156 0519-22270",SUDARMONO
90,Sta. Met. Kelas III Gewayantana - Flores TimurBBMKG Wilayah III Denpasar,"Jl. Soekarno-Hatta No 76 Larantuka Flores - NTT, 86251",MARSIANUS Y.R. MILLA
91,Sta. Met. Kelas III Iskandar - Kotawaringin BaratBBMKG Wilayah III Denpasar,"Jl. Iskandar, Bandar Udara Pangkalan Bun, Kota Waringin Barat, Kalimantan Tengah 74102 0532-21329 0812-5112-1425 0532-21329 stamet.pangkalanbun@bmkg.go.id","AQIL IHSAN, S. Kom."
92,Sta. Met. Kelas III Juwata - TarakanBBMKG Wilayah III Denpasar,"Jl. Mulawarman, Bandar Udara Juata, Tarakan, Kalimantan Timur, 77111 0550-21629 0550-51606 stamet.tarakan@bmkg.go.id","ARMUNANTO WIDYOSUTOTO, S.Sos"
93,Sta. Met. Kelas III Kalianget - SumenepBBMKG Wilayah III Denpasar,"Jl. Raya Kalianget No. 8, Sumenep Barat Madura 69471 0328-662743 stamet.kalianget@bmkg.go.id","USMAN KHOLID, M.Si"
94,Sta. Met. Kelas III Kalimarau - BerauBBMKG Wilayah III Denpasar,"Bandara Kalimarau, Jl. Kalimarau, Teluk Bayur, Berau, Kalimantan Timur, 77315 0554-8811119 0554-2027470",TEKAD SUMARDI
95,Sta. Met. Kelas III David Constantijn Saudale - Rote NdaoBBMKG Wilayah III Denpasar,Bandar Udara Lekunik Baa Rote 85371 stamet.baarote@bmkg.go.id,"OKTEN LUTHER NUBATONIS, STP"
96,Sta. Met. Kelas III Sultan Muhammad Salahuddin - BimaBBMKG Wilayah III Denpasar,Stasiun Meteorologi M. Salahudin Bima NTB 84173 stamet.bima@bmkg.go.id,"SATRIA TOPAN PRIMADI, S.Si"
97,Sta. Met. Kelas III Mali - AlorBBMKG Wilayah III Denpasar,"Jl. Soekarno Hatta, Bandar Udara Mali, Alor. 85819 0386-222280 stamet.mali@bmkg.go.id",AGUSTINUS BOLILERA
98,Sta. Met. Kelas III Umbu Mehang Kunda - Sumba TimurBBMKG Wilayah III Denpasar,"Bandara Umbu M Kunda, Jl. Adi Sucipto, No. 3, Waingapu, Nusa Tenggara Timur, 85114. 0387-61227 0387-61228",ELIAS LAMBERTUS LIMA HELU
99,Sta. Met. Kelas III Sangkapura - GresikBBMKG Wilayah III Denpasar,Jl. Umar Masud Sangkapura - Bawean Gresik 61181 0325-421004 0352-421572 stamet.bawean@bmkg.go.id,"ARI WIDJAJANTO, SP, MT"
100,Sta. Met. Kelas III Frans Sales Lega - ManggaraiBBMKG Wilayah III Denpasar,"Bandara Satar Tacik, Ruteng, Jl. Satar Tacik, Ruteng, Manggarai, Nusa Tenggara Timur, 86518 0385-21264 0385-21802","MOH. SYAEFUL HADI, SP"
101,Sta. Met. Kelas III Gusti Syamsir Alam  - KotabaruBBMKG Wilayah III Denpasar,"Jl. Raya Stagen KM 10 Kotabaru, Kalimantan Selatan, 72151 0518-21701 0518-21701 stamet.kotabaru@bmkg.go.id","TONI KURNIAWAN, S.P."
102,Sta. Met. Kelas III Sultan Muhammad Kaharuddin - SumbawaBBMKG Wilayah III Denpasar,"Jl. Garuda No 43 Sumbawa Besar, Nusa Tenggara Barat, 84312 0371-21859 0371-24134 0371-626144 stamet.sumbawabesar@bmkg.go.id","SAMRIYANTO, ST"
103,Sta. Met. Kelas III Tanjung Harapan - BulunganBBMKG Wilayah III Denpasar,"Jl. Ulin No. 3 Tanjung Selor, Bulungan, Kalimantan Timur, 77212 0552-21306 0552-21945 stamet.tanjungselor@bmkg.go.id",MUHAMMAD SULAM KHILMI
104,Sta. Met. Kelas III Temindung - SamarindaBBMKG Wilayah III Denpasar,Jl. Pipit No 150 Bandara Temindung Samarinda 0541-741160 0541-201060 stamet.samarinda@bmkg.go.id,"RIZA ARIAN NOOR, S.Si, M.Ling"
105,Sta. Met. Kelas III Tardamu - Sabu RaijuaBBMKG Wilayah III Denpasar,"Jl. Terdamu No. 12 Seba Sabu, Nusa Tenggara Timur 0380-861042 0380-861042","DANIEL EBEN HAEZER ROBE, SP"
106,Sta. Met. Kelas I Tjilik Riwut - Palangka RayaBBMKG Wilayah III Denpasar,"Jl. A Donis A5 Bandara Tjilik Riwut Palangkaraya, Kalimantan Tengah, 73001 0536-3222871 0536-3223588 stamet.tjilikriwut@bmkg.go.id","CATUR WINARTI, SP"
107,Sta. Met. Kelas III Fransiskus Xaverius Seda - SikkaBBMKG Wilayah III Denpasar,"Jl. Angkasa, Wai Oti, Maumere Flores, NTT, PO.Box 100, Kode Pos 86111 0382-21349 0382-22967",
108,Sta. Met. Kelas III Yuvai Semaring - NunukanBBMKG Wilayah III Denpasar,Jl. Bandara Yuvai Semaring Long Bawan Kerayan Nunukan Kalimantan Utara 77456 0551-21643 stamet.longbawan@bmkg.go.id,"ADE HERYADI, SE"
109,Sta. Met. Kelas IV Sanggu - Barito SelatanBBMKG Wilayah III Denpasar,"Jl. Merdeka, Bandar Udara Sanggau, Buntok 0525-2703419 stamet.buntok@bmkg.go.id","MUSUHANAYA, SE"
110,Sta. Met. Kelas IV H. Asan - Kotawaringin TimurBBMKG Wilayah III Denpasar,"Jl. Samekto Baamang Hulu, Kota Waringin, Sampit, Kalimantan Tengah, 74313 0531-34363 0531-30659",NUR SETIAWAN
111,Sta. Met. Kelas IV Komodo - Manggarai BaratBBMKG Wilayah III Denpasar,"Bandar Udara Komodo Labuhan Bajo, 86554 0385-41914","STI NENOT'EK, S.Si, M.Si"
